Issuer Company,Year,Issue Open,Issue Close,Issue Type,Issue Size(Crore Rs.),Issue Price(Rs.),Listing Day Close Price (Rs.)ÿ,Status,Return
Texmo Pipes & Products Ltd IPO,2010,16-Feb-10,19-Feb-10,BB,45,90,137.15,1,52.39
Man Infraconstruction Ltd IPO,2010,18-Feb-10,22-Feb-10,BB,141.75,252,349.85,1,38.83
United Bank of India IPO,2010,23-Feb-10,25-Feb-10,BB,324.98,66,68.65,1,4.02
Pradip Overseas Limited IPO,2010,11-Mar-10,15-Mar-10,BB,116.6,110,107.05,1,-2.68
IL&FS Transportation Networks Ltd IPO,2010,11-Mar-10,15-Mar-10,BB,700,258,274.65,1,6.45
Persistent Systems Limited IPO,2010,17-Mar-10,19-Mar-10,BB,168.01,310,406.35,1,31.08
Shree Ganesh Jewellery House Ltd IPO,2010,19-Mar-10,23-Mar-10,BB,371.02,260,164.55,1,-36.71
Goenka Diamond & Jewels Ltd IPO,2010,23-Mar-10,26-Mar-10,BB,126.51,135,127.6,1,-5.48
Talwalkars Better value Fitness Ltd IPO,2010,21-Apr-10,23-Apr-10,BB,77.44,128,163.15,1,27.46
Nitesh Estates Limited IPO,2010,23-Apr-10,27-Apr-10,BB,405,54,51.4,1,-4.81
Tarapur Transformers Limited IPO,2010,26-Apr-10,28-Apr-10,BB,63.75,75,57.4,1,-23.47
Mandhana Industries Limited IPO,2010,27-Apr-10,29-Apr-10,BB,107.9,130,133.55,1,2.73
Tara Health Foods Limited IPO,2010,28-Apr-10,30-Apr-10,BB,,0,,0,0
SJVN Ltd (Satluj Jal Vidyut Nigam Ltd) IPO,2010,29-Apr-10,03-May-10,BB,"1,062.74",26,25.1,1,-3.46
Jaypee Infratech Ltd IPO,2010,29-Apr-10,04-May-10,BB,"1,650.00",102,91.45,1,-10.34
Fatpipe Networks India Limited IPO,2010,07-Jun-10,09-Jun-10,BB,,,,0,0
Parabolic Drugs Limited IPO,2010,14-Jun-10,17-Jun-10,BB,200,75,64.85,1,-13.53
Aster Silicates Ltd IPO,2010,24-Jun-10,28-Jun-10,BB,53.1,118,205.55,1,74.19
Technofab Engineering Ltd IPO,2010,29-Jun-10,02-Jul-10,BB,71.66,240,296.95,1,23.73
Hindustan Media Ventures Ltd IPO,2010,05-Jul-10,07-Jul-10,BB,270,166,188.95,1,13.83
SKS Microfinance Ltd IPO,2010,28-Jul-10,02-Aug-10,BB,"1,628.78",985,1088.65,1,10.52
Bajaj Corp Limited IPO,2010,02-Aug-10,05-Aug-10,BB,297,660,758.75,1,14.96
Prakash Steelage Ltd IPO,2010,05-Aug-10,10-Aug-10,BB,68.75,110,185.35,1,68.5
Gujarat Pipavav Port Ltd (GPPL) IPO,2010,23-Aug-10,26-Aug-10,BB,500,46,54.05,1,17.5
Indosolar Ltd IPO,2010,13-Sep-10,15-Sep-10,BB,357,29,23.7,1,-18.28
Career Point Infosystems Ltd IPO,2010,16-Sep-10,21-Sep-10,BB,115,310,628.15,1,102.63
Microsec Financial Services Ltd IPO,2010,17-Sep-10,21-Sep-10,BB,147.5,118,111.35,1,-5.64
Eros International Media Ltd IPO,2010,17-Sep-10,21-Sep-10,BB,350,175,190.25,1,8.71
